age_scal,time_spent_scal,income_scal,age_scal,gender,time_spent,platform,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car,gender_Encoded,platform_Encoded,interests_Encoded,location_Encoded,demographics_Encoded,profession_Encoded,indebt_Encoded,isHomeOwner_Encoded,Owns_Car_Encoded
1.1128817500082018,-0.7999008394817166,1.609380435596781,56,male,3,Instagram,Sports,United Kingdom,Urban,Software Engineer,19774,True,False,False,1,1,1,1,2,1,1,0,0
0.37165239739850314,-1.1941348658403743,-1.5051063363485266,46,female,2,Facebook,Travel,United Kingdom,Urban,Student,10564,True,True,True,0,0,2,1,2,2,1,1,1
-0.666068696255075,1.1712692923115724,-0.5940935932843944,32,male,8,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,13258,False,False,False,1,1,1,0,1,0,0,0,0
1.4093734910520812,-0.011432786764401043,-0.8504216033967226,60,non-binary,5,Instagram,Travel,United Kingdom,Urban,Student,12500,False,True,False,2,1,2,1,2,2,0,1,0
-1.184929243081864,-1.5883688921990322,-0.15177560221984907,25,male,1,Instagram,Lifestlye,Australia,Urban,Software Engineer,14566,False,True,True,1,1,0,0,2,1,0,1,1
-0.2213310846892558,-0.7999008394817166,1.4081730925666551,38,male,3,Facebook,Travel,United States,Urban,Marketer Manager,19179,True,True,True,1,0,2,2,2,0,1,1,1
1.1128817500082018,1.1712692923115724,0.6310731357881192,56,male,8,YouTube,Sports,United States,Urban,Student,16881,True,True,True,1,2,1,2,2,2,1,1,1
-0.36957695521119555,-0.4056668131230588,-0.46626775182996155,36,male,4,Instagram,Sports,Australia,Urban,Marketer Manager,13636,True,False,True,1,1,1,0,2,0,1,0,1
-0.07308521416731607,0.7770352659529145,0.34329591071477966,40,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,16030,False,False,True,2,2,0,0,1,0,0,0,1
-0.9625604372989545,-1.1941348658403743,-1.6204201245389012,28,non-binary,2,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10223,True,False,True,2,1,1,0,1,0,1,0,1
-0.9625604372989545,0.7770352659529145,0.43358559237703775,28,female,7,YouTube,Lifestlye,United Kingdom,Urban,Student,16297,True,True,False,0,2,0,1,2,2,1,1,0
0.001037721093653793,-0.011432786764401043,-1.5774733471190256,41,non-binary,5,Facebook,Sports,United States,Sub_Urban,Marketer Manager,10350,False,False,False,2,0,1,2,1,0,0,0,0
0.8905129442252921,-0.011432786764401043,0.7774979753377737,53,non-binary,5,Facebook,Sports,Australia,Rural,Student,17314,False,True,True,2,0,1,0,0,2,0,1,1
1.1870046852691716,0.3828012395942567,-1.0438511835870283,57,female,6,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,11928,False,True,False,0,1,0,1,2,1,0,1,0
0.001037721093653793,1.56550331867023,0.922570160480503,41,non-binary,9,YouTube,Travel,United States,Rural,Student,17743,True,True,False,2,2,2,2,0,2,1,1,0
-1.5555439193867133,0.3828012395942567,1.192086551060352,20,male,6,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,18540,True,True,False,1,0,1,1,1,1,1,1,0
-0.14720814942828594,1.1712692923115724,-0.09564044433245263,39,male,8,Instagram,Travel,United States,Sub_Urban,Student,14732,True,True,False,1,1,2,2,1,2,1,1,0
-1.6296668546476831,0.7770352659529145,-1.351918224764246,19,female,7,Instagram,Sports,United Kingdom,Rural,Marketer Manager,11017,False,True,True,0,1,1,1,0,0,0,1,1
0.001037721093653793,1.56550331867023,-0.9430784302710998,41,female,9,Facebook,Sports,United States,Sub_Urban,Student,12226,False,False,False,0,0,1,2,1,2,0,0,0
1.483496426313051,-0.4056668131230588,0.7409763063507928,61,female,4,Facebook,Sports,United States,Urban,Marketer Manager,17206,False,False,False,0,0,1,2,2,0,0,0,0
0.445775332659473,-1.1941348658403743,0.7288024166884659,47,male,2,Instagram,Sports,United Kingdom,Rural,Software Engineer,17170,False,False,True,1,1,1,1,0,1,0,0,1
1.038758814747232,0.7770352659529145,0.4031508682212204,55,non-binary,7,YouTube,Travel,Australia,Urban,Student,16207,True,False,True,2,2,2,0,2,2,1,0,1
-1.6296668546476831,0.3828012395942567,-0.8778128551369582,19,male,6,YouTube,Travel,United States,Rural,Marketer Manager,12419,True,True,True,1,2,2,2,0,0,1,1,1
-0.2213310846892558,-1.5883688921990322,0.41431026707835344,38,female,1,YouTube,Sports,Australia,Sub_Urban,Software Engineer,16240,True,True,True,0,2,1,0,1,1,1,1,1
0.6681441384423826,1.56550331867023,-1.055686909647624,50,non-binary,9,Instagram,Sports,United Kingdom,Rural,Software Engineer,11893,True,False,False,2,1,1,1,0,1,1,0,0
-0.8884375020379846,1.56550331867023,0.10387608068901659,29,non-binary,9,Facebook,Travel,Australia,Rural,Student,15322,True,False,True,2,0,2,0,0,2,1,0,1
-0.14720814942828594,-1.1941348658403743,0.9141160704372204,39,male,2,Instagram,Lifestlye,Australia,Urban,Software Engineer,17718,True,False,False,1,1,0,0,2,1,1,0,0
1.483496426313051,-0.7999008394817166,0.6300586449829252,61,female,3,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,16878,True,False,False,0,0,0,0,1,0,1,0,0
0.07516065635462366,-0.011432786764401043,-1.3153965557772653,42,male,5,YouTube,Travel,Australia,Urban,Software Engineer,11125,True,False,True,1,2,2,0,2,1,1,0,1
0.2234065268765634,-0.011432786764401043,-0.6417746611285082,44,non-binary,5,YouTube,Sports,Australia,Sub_Urban,Software Engineer,13117,False,False,True,2,2,1,0,1,1,0,0,1
1.3352505557911114,-1.5883688921990322,-0.2887318609210271,59,male,1,Facebook,Sports,United States,Urban,Marketer Manager,14161,False,False,True,1,0,1,2,2,0,0,0,1
0.29752946213753323,1.1712692923115724,-0.3289733295270522,45,male,8,Facebook,Lifestlye,United States,Rural,Software Engineer,14042,True,False,True,1,0,0,2,0,1,1,0,1
-0.5919457609941051,1.1712692923115724,-0.19675136125011244,33,female,8,Instagram,Lifestlye,United States,Urban,Software Engineer,14433,False,True,True,0,1,0,2,2,1,0,1,1
-0.666068696255075,-0.4056668131230588,1.2252265840300198,32,female,4,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,18638,True,True,True,0,2,2,1,1,1,1,1,1
1.7058652320959606,0.7770352659529145,-0.7969917543231766,64,non-binary,7,Instagram,Lifestlye,Australia,Sub_Urban,Software Engineer,12658,True,True,False,2,1,0,0,1,1,1,1,0
1.483496426313051,-0.7999008394817166,-0.518006782894851,61,male,3,Instagram,Travel,United States,Rural,Marketer Manager,13483,False,True,False,1,1,2,2,0,0,0,1,0
-1.5555439193867133,0.3828012395942567,-0.7002769642280238,20,male,6,Instagram,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,12944,True,False,False,1,1,0,1,1,1,1,0,0
0.9646358794862621,1.56550331867023,0.742328960757718,54,male,9,YouTube,Lifestlye,United States,Urban,Marketer Manager,17210,True,True,False,1,2,0,2,2,0,1,1,0
-1.259052178342834,-1.5883688921990322,0.8921354363246856,24,non-binary,1,Instagram,Lifestlye,United States,Rural,Software Engineer,17653,True,False,True,2,1,0,2,0,1,1,0,1
-0.2213310846892558,-0.011432786764401043,1.275612960687984,38,non-binary,5,Instagram,Sports,Australia,Sub_Urban,Software Engineer,18787,True,True,True,2,1,1,0,1,1,1,1,1
-1.110806307820894,-0.4056668131230588,-1.0242376946866127,26,female,4,Instagram,Sports,United Kingdom,Sub_Urban,Software Engineer,11986,True,False,False,0,1,1,1,1,1,1,0,0
1.1128817500082018,1.1712692923115724,-1.3326428994655617,56,female,8,Instagram,Sports,Australia,Urban,Software Engineer,11074,True,False,False,0,1,1,0,2,1,1,0,0
